examy,cat_age,hhhhh,hhhhc,acccc,aaccc,aaacc,hhccc,hhhaa,ccccc,hhacc,haacc,hhhha,aaaaa,hhaac,haaac,hhhac,hcccc,haccc,hhhcc,aaaac,hhaaa,haaaa
1980,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981,2,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,2,0.5,0,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0,0,0
1986,2,0.833333333333333,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0
1987,2,0.6,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0
1989,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990,2,0.833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0
1991,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994,2,0.714285714285714,0,0,0.142857142857143,0,0,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0,0,0
1995,2,0.4,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0.2,0,0,0,0,0,0
1996,2,0.666666666666667,0.166666666666667,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0.0833333333333333,0,0,0,0,0
1997,2,0.461538461538462,0.0769230769230769,0,0,0,0,0.0769230769230769,0,0,0,0.0769230769230769,0,0,0,0.0769230769230769,0,0.153846153846154,0.0769230769230769,0,0,0
1998,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,2,0.5625,0,0,0,0,0,0,0,0,0.125,0.0625,0.0625,0.0625,0,0,0.0625,0,0.0625,0,0,0
2001,2,0.428571428571429,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0,0.142857142857143,0,0,0,0
2002,2,0.727272727272727,0,0,0.0909090909090909,0,0.0909090909090909,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0
2003,2,0.555555555555556,0,0,0,0,0,0,0.0555555555555556,0,0.0555555555555556,0.0555555555555556,0,0,0.0555555555555556,0.0555555555555556,0,0,0.0555555555555556,0.0555555555555556,0.0555555555555556,0
2004,2,0.363636363636364,0.181818181818182,0,0,0,0,0.181818181818182,0,0,0,0,0.0909090909090909,0,0,0.181818181818182,0,0,0,0,0,0
2005,2,0.391304347826087,0.0869565217391304,0.0869565217391304,0.0434782608695652,0,0,0,0,0,0,0.0869565217391304,0,0.0434782608695652,0.0434782608695652,0.0434782608695652,0,0.0434782608695652,0,0.0869565217391304,0.0434782608695652,0
2006,2,0.458333333333333,0,0.0416666666666667,0.0416666666666667,0.0416666666666667,0,0,0.0416666666666667,0,0,0.125,0,0,0.0833333333333333,0.125,0,0,0,0,0.0416666666666667,0
2007,2,0.52,0.08,0.04,0,0,0,0,0,0.04,0.04,0.08,0.08,0.04,0,0.04,0,0.04,0,0,0,0
2008,2,0.444444444444444,0.166666666666667,0,0,0,0.0555555555555556,0,0,0,0.0555555555555556,0.111111111111111,0.0555555555555556,0.0555555555555556,0,0,0.0555555555555556,0,0,0,0,0
2009,2,0.523809523809524,0.0476190476190476,0,0,0.0476190476190476,0,0,0,0.0952380952380952,0,0.0952380952380952,0,0,0,0.142857142857143,0,0,0.0476190476190476,0,0,0
2010,2,0.647058823529412,0,0,0,0.0588235294117647,0,0,0.117647058823529,0,0.0588235294117647,0,0.0588235294117647,0,0,0.0588235294117647,0,0,0,0,0,0
2011,2,0.3125,0,0,0.0625,0,0,0,0,0,0.125,0.0625,0.125,0.0625,0,0.1875,0,0.0625,0,0,0,0
2012,2,0.285714285714286,0,0,0.142857142857143,0,0.0714285714285714,0,0,0,0.142857142857143,0,0,0,0,0.214285714285714,0.0714285714285714,0.0714285714285714,0,0,0,0
